"","mGJ","mGG","mFJ","mCJ","mFG","mGsG","mCG","mTG","mJJ","mGsJ","mTF","mTJ","mFC","mGsF","aJ","nNGFig2","aG","mGsT","mTC","nNGFig5","nNGFig31","mGsGs","mCC","mGsC","nNTF13","nNTF12","nNGFig4","nNGsF13","nNTF10","nNGsF10","nNGsF12","mFF","nNTF9","nNTF11","nNGsF9","aF","nNGsF11","eStuT","eGaussian","nNGsF8","nNTF8","mTT","aC"
"X1",0.4465,0.4416,0.3334,0.4754,0.4267,0.4382,0.4043,0.5041,0.4964,0.3765,0.4805,0.7308,0.5358,0.4614,0.6361,0.3557,0.4899,0.6175,0.5628,0.4491,0.3669,0.5985,0.6335,0.5993,1.6503,1.6043,0.6882,1.7436,1.6953,1.607,1.7111,0.6814,1.9565,2.4961,2.5391,2.7815,2.7136,2.8039,2.6364,2.8023,2.796,5.7815,3.0302
"X2",0.58,0.5727,0.4891,0.5953,0.4855,0.684,0.9131,0.6917,0.6344,0.6762,0.5305,0.7217,0.5432,0.631,0.8812,1.0089,0.8384,0.7216,0.6864,0.826,0.833,0.8055,0.8272,0.8112,1.5631,1.5006,0.9172,1.6231,1.5694,1.5954,1.6647,1.0177,2.5117,2.7395,3.0057,3.1873,3.0264,3.4428,3.3408,3.4867,3.5066,5.4408,3.6218
"X3",0.4961,0.431,0.5957,0.7214,0.6245,0.6186,0.5349,0.4719,0.5243,0.7687,0.654,0.558,0.656,0.685,0.9367,1.1733,1.2759,0.7623,0.7068,1.1922,1.1313,0.8255,0.8235,0.7903,1.4718,1.5411,1.2679,1.6359,1.5639,1.5554,1.6644,1.3154,2.9483,3.15,3.4617,3.4164,3.2811,3.7744,3.8685,3.8514,3.6762,4.0507,4.3013
"X4",0.4014,0.3956,0.7513,0.5917,0.6878,0.4111,0.6922,0.4974,0.5442,0.7052,0.7454,0.4921,0.796,0.7659,0.5786,0.9186,0.9499,0.885,0.8377,1.0083,0.83,0.8513,0.8578,0.8591,1.373,1.3852,0.6957,1.3469,1.4425,1.5377,1.6089,1.0419,2.654,2.8079,3.0994,3.1603,3.1006,3.2184,3.5433,3.5009,3.4915,3.8298,3.7675
"X5",0.3477,0.3541,0.4177,0.4153,0.4149,0.4359,0.3732,0.3376,0.4708,0.4753,0.5223,0.4814,0.5371,0.5377,0.613,0.744,0.6277,0.7234,0.8175,0.6302,0.7391,0.7176,0.826,0.8073,0.9253,0.8785,0.7178,0.8617,0.96,0.971,0.887,0.9411,2.0149,2.3363,2.472,2.6158,2.7897,2.7395,2.6748,2.5876,2.6375,2.1894,2.8532
"X6",0.3922,0.3972,0.3583,0.3331,0.3868,0.4212,0.3201,0.3654,0.4064,0.3216,0.5419,0.4576,0.5516,0.5895,0.4716,0.3873,0.4709,0.7694,0.82,0.6001,0.7267,0.7649,0.879,0.8713,0.6886,0.6759,0.7629,0.6844,0.6797,0.7018,0.7419,0.8434,1.7602,2.0149,2.2165,2.0224,2.4122,2.0718,2.0957,2.1691,2.1405,1.6421,2.59
"X7",0.3487,0.4118,0.4035,0.3943,0.4408,0.3754,0.3904,0.3779,0.3616,0.3722,0.5939,0.352,0.601,0.6538,0.4027,0.4637,0.4109,0.8372,0.8395,0.9353,1.0132,0.9012,0.8636,0.8248,0.5708,0.5876,1.2664,0.5711,0.5882,0.5904,0.627,0.9101,1.714,2.201,2.1415,1.6685,2.2159,1.6934,1.7642,2.0252,1.8009,0.9903,1.8167
"X8",0.3222,0.36,0.4436,0.2728,0.393,0.3985,0.345,0.3513,0.4205,0.3771,0.5001,0.4097,0.5264,0.5974,0.4983,0.4506,0.4611,0.7113,0.7203,0.5942,0.4871,0.671,0.7621,0.6984,0.4586,0.4881,0.605,0.4792,0.5019,0.4747,0.4856,0.8835,1.4207,1.9131,1.894,1.9767,2.2041,2.2712,2.2786,2.3454,2.3879,1.3129,2.4436
"X9",0.4145,0.4756,0.469,0.4667,0.5136,0.4668,0.5384,0.4451,0.5202,0.5079,0.4942,0.4736,0.4966,0.5461,0.5679,0.6081,0.6291,0.7474,0.8075,0.7699,0.8623,0.7797,0.8206,0.7978,0.6172,0.6103,0.8637,0.62,0.6658,0.6204,0.6969,0.8518,1.8202,2.1548,2.2355,2.1416,2.3757,2.276,2.0728,2.044,2.3185,1.6365,2.5464
"X10",0.4541,0.4371,0.4045,0.4559,0.4257,0.4897,0.4531,0.4389,0.516,0.3926,0.4732,0.5467,0.5211,0.5366,0.5988,0.4838,0.649,0.7025,0.7414,0.7318,0.8185,0.6973,0.7818,0.7155,0.5869,0.6078,0.9681,0.6014,0.6501,0.6901,0.5853,0.8625,1.6384,1.9435,2.2035,2.0128,2.2935,2.0072,2.093,2.0232,2.0525,1.6596,2.3539
