"","c..mCC....mCG....mCJ....mFC....mFF....mFG....mFJ....mGsC....mGsF...","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1","mCC",0.6335,0.8272,0.8235,0.8578,0.826,0.879,0.8636,0.7621,0.8206,0.7818,1.0465,1.3143
"2","mCG",0.4043,0.9131,0.5349,0.6922,0.3732,0.3201,0.3904,0.345,0.5384,0.4531,0.5109,1.2787
"3","mCJ",0.4754,0.5953,0.7214,0.5917,0.4153,0.3331,0.3943,0.2728,0.4667,0.4559,0.517,1.3517
"4","mFC",0.5358,0.5432,0.656,0.796,0.5371,0.5516,0.601,0.5264,0.4966,0.5211,0.691,1.4815
"5","mFF",0.6814,1.0177,1.3154,1.0419,0.9411,0.8434,0.9101,0.8835,0.8518,0.8625,0.9406,2.1401
"6","mFG",0.4267,0.4855,0.6245,0.6878,0.4149,0.3868,0.4408,0.393,0.5136,0.4257,0.5517,1.2494
"7","mFJ",0.3334,0.4891,0.5957,0.7513,0.4177,0.3583,0.4035,0.4436,0.469,0.4045,0.5565,1.2587
"8","mGsC",0.5993,0.8112,0.7903,0.8591,0.8073,0.8713,0.8248,0.6984,0.7978,0.7155,0.992,1.6809
"9","mGsF",0.4614,0.631,0.685,0.7659,0.5377,0.5895,0.6538,0.5974,0.5461,0.5366,0.7036,1.521
"10","mGsG",0.4382,0.684,0.6186,0.4111,0.4359,0.4212,0.3754,0.3985,0.4668,0.4897,0.5163,1.3734
"11","mGsGs",0.5985,0.8055,0.8255,0.8513,0.7176,0.7649,0.9012,0.671,0.7797,0.6973,0.9598,1.7029
"12","mGsJ",0.3765,0.6762,0.7687,0.7052,0.4753,0.3216,0.3722,0.3771,0.5079,0.3926,0.5573,1.5428
"13","mGsT",0.6175,0.7216,0.7623,0.885,0.7234,0.7694,0.8372,0.7113,0.7474,0.7025,0.9436,1.2783
"14","mGG",0.4416,0.5727,0.431,0.3956,0.3541,0.3972,0.4118,0.36,0.4756,0.4371,0.5074,1.5506
"15","mGGRandomLGD",0.2233,0.3711,0.5785,0.6879,0.5305,0.487,0.4988,0.3836,0.6377,0.5753,0.6348,1.2576
"16","mGJ",0.4465,0.58,0.4961,0.4014,0.3477,0.3922,0.3487,0.3222,0.4145,0.4541,0.5496,1.5516
"17","mGGRandomLGD",0.2233,0.3711,0.5785,0.6879,0.5305,0.487,0.4988,0.3836,0.6377,0.5753,0.6348,1.2576
"18","mJJ",0.4964,0.6344,0.5243,0.5442,0.4708,0.4064,0.3616,0.4205,0.5202,0.516,0.5088,1.5773
"19","mTC",0.5628,0.6864,0.7068,0.8377,0.8175,0.82,0.8395,0.7203,0.8075,0.7414,1.0853,1.2585
"20","mTF",0.4805,0.5305,0.654,0.7454,0.5223,0.5419,0.5939,0.5001,0.4942,0.4732,0.6698,1.1828
"21","mTG",0.5041,0.6917,0.4719,0.4974,0.3376,0.3654,0.3779,0.3513,0.4451,0.4389,0.548,1.7529
"22","mTJ",0.7308,0.7217,0.558,0.4921,0.4814,0.4576,0.352,0.4097,0.4736,0.5467,0.5537,1.6433
"23","mTT",5.7815,5.4408,4.0507,3.8298,2.1894,1.6421,0.9903,1.3129,1.6365,1.6596,2.2572,3.8304
"24","nNGsF8",3.7951,4.0568,4.3766,4.1898,4.274,4.0277,5.2184,3.7239,4.138,4.2142,4.1185,4.3261
"25","nNGsF9",2.8036,3.0491,3.4542,3.1918,2.7867,2.3692,2.3389,1.9556,2.4141,2.1569,2.225,3.2614
"26","nNGsF10",1.6043,1.703,1.8091,1.87,1.4306,0.8761,1.3421,0.6705,1.0263,1.0781,1.1032,1.1589
"27","nNGsF11",2.92,3.0873,3.2721,3.2492,3.2779,2.9823,3.803,2.4405,3.0699,3.088,3.0266,2.9245
"28","nNGsF12",2.5386,2.697,2.8977,2.7832,2.9511,2.8477,3.101,2.0157,2.8615,2.9939,2.8687,2.5024
"29","nNGsF13",1.0437,1.1161,1.2557,1.3889,0.8951,0.6837,1.0448,0.3445,0.5902,0.7051,0.7865,0.7155
"30","nNGFig2",0.3557,1.0089,1.1733,0.9186,0.744,0.3873,0.4637,0.4506,0.6081,0.4838,0.6432,2.126
"31","nNGFig4",0.6882,0.9172,1.2679,0.6957,0.7178,0.7629,1.2664,0.605,0.8637,0.9681,0.7432,2.0454
"32","nNGFig31",0.3669,0.833,1.1313,0.83,0.7391,0.7267,1.0132,0.4871,0.8623,0.8185,0.7356,1.5962
"33","nNGFig5",0.4491,0.826,1.1922,1.0083,0.6302,0.6001,0.9353,0.5942,0.7699,0.7318,0.7073,1.4812
"34","aC",3.0302,3.6218,4.3013,3.7675,2.8532,2.59,1.8167,2.4436,2.5464,2.3539,2.768,4.0137
"35","aF",2.7815,3.1873,3.4164,3.1603,2.6158,2.0224,1.6685,1.9767,2.1416,2.0128,2.3107,3.4054
"36","aG",0.4899,0.8384,1.2759,0.9499,0.6277,0.4709,0.4109,0.4611,0.6291,0.649,0.7115,2.0788
"37","aJ",0.6361,0.8812,0.9367,0.5786,0.613,0.4716,0.4027,0.4983,0.5679,0.5988,0.6559,2.1302
"38","eGaussian",2.6364,3.3408,3.8685,3.5433,2.6748,2.0957,1.7642,2.2786,2.0728,2.093,2.3526,3.8355
"39","eStuT",7.3198,6.9254,6.4381,5.2802,3.4627,2.6259,1.7603,2.3784,2.7115,2.4758,3.3861,5.8499
