,RBIND45name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,eGaussian,2.6364,3.3408,3.8685,3.5433,2.6748,2.0957,1.7642,2.2786,2.0728,2.093,2.3526,3.8355
2,eStuT,2.8039,3.4428,3.7744,3.2184,2.7395,2.0718,1.6934,2.2712,2.276,2.0072,2.3348,3.9039
3,nNGsF8,2.8023,3.4867,3.8514,3.5009,2.5876,2.1691,2.0252,2.3454,2.044,2.0232,2.3041,3.7924
4,nNGsF9,2.5391,3.0057,3.4617,3.0994,2.472,2.2165,2.1415,1.894,2.2355,2.2035,2.3655,2.9899
5,nNGsF10,1.607,1.5954,1.5554,1.5377,0.971,0.7018,0.5904,0.4747,0.6204,0.6901,0.95,0.6717
6,nNGsF11,2.7136,3.0264,3.2811,3.1006,2.7897,2.4122,2.2159,2.2041,2.3757,2.2935,2.5053,3.0722
7,nNGsF12,1.7111,1.6647,1.6644,1.6089,0.887,0.7419,0.627,0.4856,0.6969,0.5853,0.8386,0.6705
8,nNGsF13,1.7436,1.6231,1.6359,1.3469,0.8617,0.6844,0.5711,0.4792,0.62,0.6014,0.8632,0.6379
9,aF,2.7815,3.1873,3.4164,3.1603,2.6158,2.0224,1.6685,1.9767,2.1416,2.0128,2.3107,3.4054
10,aC,3.0302,3.6218,4.3013,3.7675,2.8532,2.59,1.8167,2.4436,2.5464,2.3539,2.768,4.0137
11,aG,0.4899,0.8384,1.2759,0.9499,0.6277,0.4709,0.4109,0.4611,0.6291,0.649,0.7115,2.0788
12,aJ,0.6361,0.8812,0.9367,0.5786,0.613,0.4716,0.4027,0.4983,0.5679,0.5988,0.6559,2.1302
13,nNGFig2,0.3557,1.0089,1.1733,0.9186,0.744,0.3873,0.4637,0.4506,0.6081,0.4838,0.6432,2.126
14,nNGFig4,0.6882,0.9172,1.2679,0.6957,0.7178,0.7629,1.2664,0.605,0.8637,0.9681,0.7432,2.0454
15,nNGFig31,0.3669,0.833,1.1313,0.83,0.7391,0.7267,1.0132,0.4871,0.8623,0.8185,0.7356,1.5962
16,nNGFig5,0.4491,0.826,1.1922,1.0083,0.6302,0.6001,0.9353,0.5942,0.7699,0.7318,0.7073,1.4812
17,mGsGs,0.5985,0.8055,0.8255,0.8513,0.7176,0.7649,0.9012,0.671,0.7797,0.6973,0.9598,1.7029
18,mGsT,0.6175,0.7216,0.7623,0.885,0.7234,0.7694,0.8372,0.7113,0.7474,0.7025,0.9436,1.2783
19,mGsF,0.4614,0.631,0.685,0.7659,0.5377,0.5895,0.6538,0.5974,0.5461,0.5366,0.7036,1.521
20,mGsC,0.5993,0.8112,0.7903,0.8591,0.8073,0.8713,0.8248,0.6984,0.7978,0.7155,0.992,1.6809
21,mGsG,0.4382,0.684,0.6186,0.4111,0.4359,0.4212,0.3754,0.3985,0.4668,0.4897,0.5163,1.3734
22,mGsJ,0.3765,0.6762,0.7687,0.7052,0.4753,0.3216,0.3722,0.3771,0.5079,0.3926,0.5573,1.5428
23,mTT,5.7815,5.4408,4.0507,3.8298,2.1894,1.6421,0.9903,1.3129,1.6365,1.6596,2.2572,3.8304
24,mTF,0.4805,0.5305,0.654,0.7454,0.5223,0.5419,0.5939,0.5001,0.4942,0.4732,0.6698,1.1828
25,mTC,0.5628,0.6864,0.7068,0.8377,0.8175,0.82,0.8395,0.7203,0.8075,0.7414,1.0853,1.2585
26,mTG,0.5041,0.6917,0.4719,0.4974,0.3376,0.3654,0.3779,0.3513,0.4451,0.4389,0.548,1.7529
27,mTJ,0.7308,0.7217,0.558,0.4921,0.4814,0.4576,0.352,0.4097,0.4736,0.5467,0.5537,1.6433
28,mFF,0.6814,1.0177,1.3154,1.0419,0.9411,0.8434,0.9101,0.8835,0.8518,0.8625,0.9406,2.1401
